"URL","Titel","Land","Beschreibung","Ort","Bezug","Staatlich_Öffentlich","Geoportal","GDI","lon","lat"
"http://www.noe.gv.at/Land-Zukunft/Karten-Geoinformation.html","Karten & Geoinformationen - Land Niederösterreich","Österreich","","Niederösterreich","regional","ja","ja","ja",15.8049557991071,48.1080769937982
"http://www.salzburg.gv.at/sagis/","Land Salzburg - SAGIS - Salzburger Geographisches Informationssystem","Österreich","","Salzburg","regional","ja","ja","ja",13.0550100068506,47.8094900025792
"http://www.wien.gv.at/viennagis/","ViennaGIS - das Geografische Informationssystem der Stadt Wien","Österreich","Geografische Informationssystem (GIS) der Stadt Wien: Übersicht über digitale Pläne und Karten","Wien","regional","ja","ja","ja",16.3362910415714,48.2211639225668
"http://gis.bgld.gv.at/","GIS Burgenland - Willkommen","Österreich","","Burgenland","regional","ja","ja","ja",16.2688796918129,47.1537164892016
"http://www.vorarlberg.at/lvg","Land Vorarlberg - Landesvermessungsamt","Österreich","","Voralberg","regional","ja","ja","ja",9.91627869716687,47.2275159607236
"http://www.tirol.gv.at/tiris","tiris - Tiroler Rauminformationssystem | Land Tirol","Österreich","tiris ist das geografische Informationssystem des Landes Tirol. In den Verwaltungsbereichen werden Geodaten über raumbezogene Sachverhalte im tiris Datenpool systematisch gespeichert. Daraus entstehen Geoinformationen wie tirisMaps und Geodatendienste für die amtliche und öffentliche Nutzung im Internet.","Tirol","regional","ja","ja","ja",11.6014870053346,47.2537414027693
"http://www.kagis.ktn.gv.at/","GDI Kärnten – KAGIS","Österreich","","Kärnten","regional","ja","ja","ja",14.1784394596951,46.699805987966
"http://www.gis.steiermark.at/","Willkommen beim GIS-Steiermark! - Geographisches Informationssystem -  Land Steiermark","Österreich","Geoinformationen aus dem Land für das Land","Steiermark","regional","ja","ja","ja",14.4699827073984,47.3593442000272
"https://www.geo.admin.ch/","Bundes Geodaten-Infrastruktur","Schweiz","Overview of newly released geodata sets and updates as well as the latest news from the federal geoportal.","Schweiz","national","ja","ja","ja",8.22751200148271,46.8181880027196
"https://mlr.baden-wuerttemberg.de/de/unsere-themen/geodaten/open-data/","Open Data: Ministerium für Ländlichen Raum und Verbraucherschutz Baden-Württemberg","Deutschland","Barrierefrei gestalteter Internetauftritt des Ministerium für Ländlichen Raum und Verbraucherschutz Baden-Württemberg.","Baden-Württemberg","regional","ja","ja","ja",9.34997770586299,48.6391227425392
